name,x,y
Elversele,-14.4491201463,-30.4938266252
Emblem,17.753429057,-35.2359954757
Embourg,88.9303064487,28.5012011409
Emelgem,-79.3116744786,-9.6879597638
Emines,33.4151732905,36.6328383263
Emptinne,53.9935196189,57.5922900502
Ename,-50.511959976,-0.9729893372
Engelmanshoven,63.1532497609,8.1885470832
Enghien,-21.8207130718,17.0625479158
Engis,73.8532677383,29.267098572
Enines,40.2985482277,16.889322181
Ensival,104.6452067321,29.2959381116
Epinois,-9.9860174969,48.838325218
Eppegem,7.2940512405,-12.7804123628
Eprave,57.5084709935,76.8020919824
Erbaut,-32.7857466642,34.7164798867
Erbisoeul,-31.9643770184,36.6522582009
Ere,-69.0987563391,29.2904464568
Erembodegem,-20.6511303148,-7.7330014978
Erezée,84.7572185058,61.140874132
Ermeton-Sur-Biert,25.8262898221,60.6516764585
Ernage,22.6125446183,27.9670428131
Erneuville,84.130505636,80.7959294671
Ernonheid,92.2142905866,49.072476119
Erondegem,-27.7952882956,-10.4743252607
Erpe,-26.317323888,-9.6533142866
Erpe-Mere,-28.4651997586,-8.4611924308
Erpent,39.1330374926,44.1659455511
Erpion,-0.0326182004,70.0509689993
Erps-Kwerps,15.6733934692,-7.1099096595
Erquelinnes,-15.9655461406,59.2594057076
Erquennes,-39.1752795618,53.896897236
Ertvelde,-42.414051464,-37.1130669906
Erwetegem,-37.7094320895,-1.0308501323
Escanaffles,-63.3620715654,10.2050989675
Esen,-101.9178390104,-19.3968303728
Esneux,85.8833037476,34.6463985107
Espierres,-70.524529852,13.4146218131
Esplechin,-73.5215078748,30.156277349
Esquelmes,-70.4366498168,20.1271899606
Essen,8.3095304006,-69.497789611
Essene,-14.920241218,-5.6511177072
Estaimbourg,-72.5209310716,18.1849970997
Estaimpuis,-76.3134406012,15.5976890766
Estinnes,-17.8295896432,49.6428550397
Estinnes-Au-Mont,-17.7342468329,49.9134437366
Estinnes-Au-Val,-17.2046097688,47.9783350906
Etalle,87.4597511227,128.8076373385
Ethe,85.9476389885,138.7218794599
Etikhove,-50.9163162085,3.7359542475
Ettelgem,-92.139681735,-39.1621096291
Etterbeek,2.6530545465,1.0784508439
